date,word,magnitude
Mar 8,family,18.6016276
Mar 9,gated,8.292012896
Mar 9,families,2.454618627
Mar 9,florida,0.36766131
Mar 10,families,0.950174953
Mar 11,dodger,58.90138783
Mar 11,levy,20.0390927
Mar 11,syndrome,15.74500141
Mar 11,robinson,13.26886037
Mar 11,alec,6.9236899
Mar 11,seattle,5.811011549
Mar 11,child,1.088178347
Mar 12,family,17.56820384
Mar 12,palin,8.195911519
Mar 12,romney,1.778821667
Mar 12,obama,0.974902994
Mar 13,family,20.66847511
Mar 13,isotope,16.58607546
Mar 13,dodgers,14.92746791
Mar 13,outfield,12.42214008
Mar 13,gated,8.983013971
Mar 13,lee,2.812807799
Mar 13,teen,1.044538922
Mar 13,florida,0.467932577
Mar 14,family,22.73532262
Mar 14,gated,7.601011821
Mar 14,shooter,3.201537163
Mar 14,cop,3.013722642
Mar 14,teenage,2.152978256
Mar 14,unarmed,1.86776275
Mar 14,arm,1.315708934
Mar 14,teen,1.11417485
Mar 14,crime,1.11417485
Mar 14,florida,0.902441398
Mar 15,sentinel,3.133416858
Mar 15,families,2.375437381
Mar 15,media,1.18381077
Mar 15,florida,0.401085066
Mar 16,militia,15.74500141
Mar 16,fla,2.465277627
Mar 16,shooter,2.448234301
Mar 16,lee,2.410978113
Mar 16,families,2.217074889
Mar 16,teenage,2.033368353
Mar 16,unarmed,1.956703833
Mar 16,teen,1.323082635
Mar 16,racist,1.029356199
Mar 16,florida,0.935865154
Mar 17,dispatched,48.66636798
Mar 17,screamed,23.95698443
Mar 17,gunshot,13.12558288
Mar 17,suv,12.43367145
Mar 17,tracy,10.66453609
Mar 17,gated,10.36501612
Mar 17,caller,8.983013971
Mar 17,shooter,5.649771464
Mar 17,sybrina,5.443681906
Mar 17,families,4.909237255
Mar 17,teen,4.317427545
Mar 17,skittles,4.289681869
Mar 17,fulton,3.809044942
Mar 17,teenage,3.229467384
Mar 17,suspicious,3.204813427
Mar 17,fbi,2.969953381
Mar 17,sentinel,2.651352726
Mar 17,david,2.07158287
Mar 17,hispanic,1.978506085
Mar 17,weapon,1.91375845
Mar 17,cnn,1.43367145
Mar 17,unarmed,1.33411625
Mar 17,free,1.286028955
Mar 17,florida,1.169831442
Mar 17,media,1.11417485
Mar 17,romney,1.067293
Mar 17,crime,1.044538922
Mar 17,fact,0.950174953
Mar 17,criminal,0.950174953
Mar 17,obama,0.835631138
Mar 18,dispatcher,32.92136658
Mar 18,family,29.96928891
Mar 18,herald,22.71577242
Mar 18,juris,13.80799756
Mar 18,screamed,10.64754864
Mar 18,gated,8.983013971
Mar 18,fuck,8.980654212
Mar 18,skittles,6.239537264
Mar 18,sentinel,5.302705452
Mar 18,prosecute,5.134243113
Mar 18,suspicious,3.662643917
Mar 18,abc,3.415552327
Mar 18,miami,3.345733922
Mar 18,fla,3.169642663
Mar 18,cop,3.013722642
Mar 18,tea,2.11309510
Mar 18,american,2.045644917
Mar 18,crime,1.88017006
Mar 18,fact,1.741987413
Mar 18,teenage,1.315708934
Mar 18,hispanic,1.286028955
Mar 18,racist,1.187718691
Mar 18,obama,1.183810778
Mar 18,media,1.044538922
Mar 18,teen,0.974902994
Mar 18,criminal,0.950174953
Mar 18,florida,0.869017643
Mar 19,democratic,27.19591152
Mar 19,armed,25.9859064
Mar 19,prosecutors,20.78872512
Mar 19,edecio,19.05633136
Mar 19,gate,11.43913984
Mar 19,rallied,11.339822
Mar 19,skittles,11.30916129
Mar 19,herald,11.09374932
Mar 19,dispatch,10.45321395
Mar 19,monitor,9.951645274
Mar 19,gayle,9.951645274
Mar 19,fbi,9.449851667
Mar 19,erica,9.122341501
Mar 19,scream,8.452380435
Mar 19,suspicious,7.477897997
Mar 19,tracy,7.383140372
Mar 19,fulton,7.300669473
Mar 19,gunshot,6.972965907
Mar 19,sybrina,6.804602383
Mar 19,families,6.334499684
Mar 19,cbs,6.126540122
Mar 19,fatal,5.273120033
Mar 19,student,5.262835737
Mar 19,miami,5.106646513
Mar 19,texas,5.061673386
Mar 19,sentinel,4.82064132
Mar 19,retreat,4.594905092
Mar 19,teenage,4.545176318
Mar 19,abc,4.420126541
Mar 19,fla,4.402281476
Mar 19,seminole,4.126465354
Mar 19,prosecute,3.42288742
Mar 19,romney,3.379761167
Mar 19,crime,3.342524551
Mar 19,org,3.318542566
Mar 19,advocate,3.063270061
Mar 19,florida,3.041561749
Mar 19,tea,2.993551404
Mar 19,unarmed,2.93505575
Mar 19,american,2.846114667
Mar 19,fox,2.737009138
Mar 19,outrage,2.641368886
Mar 19,criminal,2.61298112
Mar 19,mitt,2.462880536
Mar 19,media,2.297985629
Mar 19,photo,2.176356693
Mar 19,teen,2.158713772
Mar 19,obama,2.158713772
Mar 19,twitter,2.134496465
Mar 19,shooter,2.07158287
Mar 19,america,1.978506085
Mar 19,hispanic,1.879580781
Mar 19,fact,1.821168659
Mar 19,war,1.483879564
Mar 19,weapon,1.435318837
Mar 19,violence,1.384954259
Mar 19,children,1.384954259
Mar 19,racist,1.187718691
Mar 19,free,1.187103651
Mar 19,republican,1.187103651
Mar 19,victim,1.088178347
Mar 20,guinness,98.74644431
Mar 20,prosecutable,83.97334083
Mar 20,skittle,54.47058753
Mar 20,cheer,53.12568712
Mar 20,dooley,50.23941903
Mar 20,juries,49.13635595
Mar 20,diaries,40.19927649
Mar 20,dí_az,38.11266272
Mar 20,junot,38.11266272
Mar 20,coon,37.31405803
Mar 20,asshole,35.04034682
Mar 20,floridian,34.6478752
Mar 20,earicicle,32.91548144
Mar 20,actbriniel,31.38181263
Mar 20,elwior,31.18308768
Mar 20,laserhaas,30.12654012
Mar 20,annie,30.12654012
Mar 20,luckylizard,29.45069392
Mar 20,otteray,29.45069392
Mar 20,siri,29.45069392
Mar 20,scribe,29.45069392
Mar 20,cone,29.45069392
Mar 20,doj,29.28075875
Mar 20,fuck,27.99851019
Mar 20,enact,27.9024414
Mar 20,tallahassee,27.61599511
Mar 20,mccain,27.61599511
Mar 20,wishingwell,27.19591152
Mar 20,rb608,27.19591152
Mar 20,horace,27.19591152
Mar 20,dispatch,27.04201
Mar 20,avila,26.71879026
Mar 20,defence,26.14621754
Mar 20,dot,25.9859064
Mar 20,blessed,25.9859064
Mar 20,4freedom,25.9859064
Mar 20,accent,25.9859064
Mar 20,matt,25.79569186
Mar 20,boothroyd,25.76454775
Mar 20,jeer,25.76454775
Mar 20,por,25.76454775
Mar 20,kevin,24.86734291
Mar 20,jeb,24.33318399
Mar 20,happyinnm,24.25351264
Mar 20,groginohio,24.25351264
Mar 20,longest,24.25351264
Mar 20,cellphone,23.95698443
Mar 20,olehippiechick,23.8501776
Mar 20,roadbear,23.8501776
Mar 20,nelson,23.76874638
Mar 20,girlfriend,23.48911048
Mar 20,castle,22.90182023
Mar 20,truebluemajority,22.90182023
Mar 20,aborted,22.90182023
Mar 20,olddragon,22.59490509
Mar 20,larsstephens,22.52111888
Mar 20,tripled,22.52111888
Mar 20,cartel,22.52111888
Mar 20,homicide,22.42469897
Mar 20,iii,21.4763416
Mar 20,horn,21.47045646
Mar 20,emotional,21.47045646
Mar 20,gate,21.37312969
Mar 20,appropriate,21.08168321
Mar 20,keywords,20.78872512
Mar 20,messi,20.78872512
Mar 20,persecute,20.78872512
Mar 20,petersburg,20.78872512
Mar 20,duckstick,20.78872512
Mar 20,revile,20.78872512
Mar 20,detain,20.78872512
Mar 20,terranova0,20.78872512
Mar 20,basket,20.78872512
Mar 20,barcelona,20.78872512
Mar 20,caucus,20.73259432
Mar 20,mjbleo,20.34600783
Mar 20,retreat,20.1665279
Mar 20,scream,20.07440353
Mar 20,probe,20.0390927
Mar 20,incompatible,20.0390927
Mar 20,shed,20.0390927
Mar 20,gchaucer2,20.0390927
Mar 20,contraception,19.63505135
Mar 20,jvolvo,19.21567406
Mar 20,shadowmage36,19.05633136
